Lap,Halfway time,Time,Max speed,Acceleration,Deacceleration,Max steer,Steer acceleration,Forward far,Forward near,Diagonal near,Side far,Side near
1,32.3,62.3,40.0,10.0,36.0,100.0,120.0,40.0,20.0,15.0,10.0,5.0
2,32.3,62.3,40.0,10.0,36.0,100.0,120.0,40.0,20.0,15.0,10.0,5.0
